Date,Income/Expenditure Amount
2023-12-26,455.8627638
2023-08-05,258.3065464
2024-03-11,212.0156509
2023-10-27,461.3437694
2023-12-22,626.0304837
2023-08-15,144.6092233
2023-12-26,76.88590745
2023-10-11,419.7660521
2024-02-27,96.97792465
2023-11-05,234.0120175
2023-09-25,678.3112271
2023-12-29,533.0853817
2023-12-27,100.1973691
2024-02-08,243.9936112
2023-10-27,397.8693765
2023-09-23,34.06846168
2024-02-28,611.5223964
2024-02-01,81.86893153
2024-04-28,88.10303858
2024-04-06,311.2432741
2024-01-21,37.17545138
2024-04-24,311.5443153
2023-11-28,433.8752331
2023-10-22,64.34641065
2023-08-02,64.62229185
2023-06-12,354.3541161
2024-03-24,360.101316
2023-11-29,236.1840955
2024-03-17,40.96465951
2023-05-03,199.0768195
2024-03-12,104.8949626
2023-09-25,143.8514941
2023-06-04,287.7403501
2023-10-03,368.608025
2023-12-16,518.3563731
2023-06-20,80.25392634
2023-12-23,340.1570542
2024-04-20,689.5176233
2024-01-15,94.73316251
2023-07-09,436.3871409
2023-05-28,382.504217
2023-05-25,138.7699082
2023-10-08,231.0855948
2023-12-13,204.4936915
2023-10-24,314.9379049
2024-03-25,228.3058928
2023-12-19,59.48263356
2023-12-27,317.2986724
2023-08-12,154.3760025
2024-01-06,361.9466009
2023-06-16,137.5512119
2023-06-26,35.85181088
2023-05-08,241.376452
2024-03-29,164.5119732
2023-11-27,44.18700627
2024-04-26,126.7294968
2023-10-01,83.63821655
2023-05-20,168.2844486
2023-05-19,139.5177341
2023-08-24,372.0545246
2024-03-15,262.9146235
2024-04-16,373.5460537
2023-09-07,500.5551919
2024-03-31,252.6480512
2023-10-24,85.30309947
2024-04-24,386.9541942
2023-07-01,265.3621714
2023-10-06,645.809757
2023-12-24,409.2714208
2024-02-25,40.22169188
2023-11-22,119.8982348
2024-03-02,578.0629389
2024-01-02,253.8630186
2023-09-29,522.3511948
2024-03-03,81.87276186
2023-11-07,429.6267915
2023-11-15,534.7140205
2023-12-01,113.1722634
2023-06-08,61.48967949
2023-12-08,523.0610825
2024-03-23,141.0397928
2024-04-16,170.1154528
2023-05-31,33.22083521
2023-05-19,288.9403831
2023-12-28,409.1867686
2024-01-11,437.454907
2024-03-01,216.4168113
2023-06-14,634.0058662
2024-03-11,564.3317879
2024-01-22,28.37763431
2023-07-02,50.16057216
2023-10-18,108.1490038
2023-07-30,264.690868
2023-11-02,323.8995111
2023-08-10,122.6117949
2023-12-20,132.4776269
2024-02-14,476.1582484
2024-04-02,240.6861967
2023-06-07,74.79908093
2024-03-20,45.26880784
2023-12-29,153.0680699
2023-06-19,452.9805361
2023-09-06,163.2338054
2023-06-20,86.81877567
2024-01-22,490.9149103
2024-01-31,421.7167753
2023-08-18,142.9904655
2023-05-08,791.9062233
2023-05-24,247.4485382
2023-07-29,561.5556438
2023-06-12,91.29945583
2024-02-05,112.9237399
2023-09-21,150.1967594
2023-08-26,357.5310427
2024-04-25,391.0809185
2024-02-03,603.089825
2023-10-26,109.2424291
2023-11-09,432.8956535
2023-07-01,278.7133232
2023-07-04,163.6605219
2023-05-19,69.63385092
2023-11-13,355.4720453
2024-02-23,71.86658291
2023-07-08,145.8832026
2024-03-11,169.8422777
2023-06-10,99.4705544
2023-05-04,344.4093212
2023-10-16,190.8392679
2023-06-22,86.86712781
2024-02-01,51.85033024
2024-04-08,738.5728431
2023-12-05,211.8670335
2023-08-26,66.91086094
2023-05-11,364.9637586
2023-05-31,41.9888447
2023-07-07,596.182673
2024-02-14,156.3597216
2024-03-19,178.1144611
2024-02-25,712.8494511
2023-11-21,358.3434838
2024-01-15,14.81990641
2023-12-01,148.9885587
2023-08-01,334.7787172
2024-01-24,222.9427605
2023-05-08,138.7470166
2024-02-01,667.2638286
2023-12-30,105.6924363
2023-05-16,43.95356425
2023-12-17,72.88490307
2024-04-22,135.6639914
2024-03-07,88.91138691
2023-08-30,150.7635797
2023-06-06,157.0395632
2023-12-09,49.98092933
2023-12-04,255.7701714
2023-09-09,21.55886017
2023-06-21,561.047481
2023-08-12,29.89024111
2023-12-13,32.53741383
2023-05-21,123.1968646
2023-08-05,134.9663031
2024-01-04,377.6484916
2023-11-29,110.3126269
2023-05-02,383.2615795
2024-02-29,56.66268039
2023-09-24,60.67770172
2023-09-27,234.4841811
2024-04-07,68.54701594
2023-05-14,334.2948531
2023-07-04,338.469064
2024-03-25,309.6124157
2024-04-02,273.0610254
2024-03-08,303.8301567
2024-01-15,465.7209218
2024-01-14,50.63122703
2023-12-19,279.3448199
2024-02-17,379.2641207
2023-09-12,119.0528481
2023-05-24,110.0506228
2023-12-01,39.75454231
2023-10-09,404.8183136
2023-07-07,402.5637156
2023-08-26,59.13522091
2023-10-05,716.6942728
2023-09-26,188.2416342
2023-06-19,224.5350171
2023-06-14,103.5157515
2024-02-05,62.18707901
2024-03-24,26.55117405
2023-05-30,176.0940809
2024-04-01,240.2005932
2023-08-20,282.0771077
2023-12-15,354.9633081
2023-07-28,54.35847706
2023-09-09,108.4215133
2024-04-15,89.11260686
2023-08-20,131.7910189
2024-01-09,485.9280909
2024-02-01,30.6496475
2023-07-16,180.9916746
2023-12-01,20.43500658
2023-12-16,280.918917
2023-06-01,412.8674157
2024-03-04,42.32116916
2023-11-16,654.0417949
2023-08-14,24.50258193
2024-02-23,493.3043604
2023-05-24,448.2498502
2023-10-24,61.54291587
2023-12-05,19.31271373
2024-04-08,122.7849051
2024-03-10,33.3813581
2023-07-27,208.5208798
2023-09-12,267.1146544
2024-04-04,385.4651657
2024-03-29,473.3320279
2023-07-02,124.9372474
2023-05-14,204.1394772
2023-10-21,108.3024835
2023-12-06,54.19275888
2023-07-31,69.31181978
2023-06-13,243.406119
2024-03-03,324.5174913
2023-05-09,378.8224861
2023-12-29,18.52206012
2023-11-19,94.07866701
2023-05-26,42.73498662
2023-06-02,43.90303333
2023-08-29,561.236488
2024-04-22,214.9326643
2023-09-19,458.2232495
2024-03-21,302.070979
2023-11-23,85.13785
2023-06-10,216.5089223
2023-05-31,622.4539799
2023-11-02,174.5016408
