Date,Total Sales
1/1/2019,4745.181
1/10/2019,3560.9489999999996
1/11/2019,2114.9625
1/12/2019,5184.7635
1/13/2019,2451.204
1/14/2019,3966.6164999999996
1/15/2019,5944.26
1/16/2019,4289.082
1/17/2019,3142.7549999999997
1/18/2019,2780.4735
1/19/2019,4914.7245
1/2/2019,1945.5030000000002
1/20/2019,3655.4489999999996
1/21/2019,2392.0995000000003
1/22/2019,1704.7694999999999
1/23/2019,5994.1875
1/24/2019,5402.050499999999
1/25/2019,4700.367
1/26/2019,4457.5125
1/27/2019,4635.897
1/28/2019,4999.711499999999
1/29/2019,3516.5655
1/3/2019,2078.1285
1/30/2019,2558.2619999999997
1/31/2019,5232.4965
1/4/2019,1623.6885
1/5/2019,3536.6835
1/6/2019,3614.205
1/7/2019,2834.2439999999997
1/8/2019,5293.7325
1/9/2019,3021.3435
2/1/2019,2444.5365
2/10/2019,3141.0225
2/11/2019,4542.153
2/12/2019,2998.989
2/13/2019,934.2375
2/14/2019,2454.0915
2/15/2019,6830.7855
2/16/2019,2503.767
2/17/2019,5299.5705
2/18/2019,1496.0295
2/19/2019,4228.119
2/2/2019,4140.948
2/20/2019,2706.417
2/21/2019,1393.7385
2/22/2019,2442.3105
2/23/2019,2339.589
2/24/2019,2722.461
2/25/2019,4807.236
2/26/2019,2408.1645
2/27/2019,5859.4515
2/28/2019,2097.018
2/3/2019,5467.9275
2/4/2019,2439.4965
2/5/2019,3031.1295
2/6/2019,2905.4235
2/7/2019,7228.2105
2/8/2019,5084.6565
2/9/2019,3271.8945
3/1/2019,2634.366
3/10/2019,3163.23
3/11/2019,2961.252
3/12/2019,3677.5515
3/13/2019,2063.607
3/14/2019,7214.634
3/15/2019,2942.415
3/16/2019,3154.473
3/17/2019,1976.289
3/18/2019,1292.8335
3/19/2019,5740.392
3/2/2019,6560.3054999999995
3/20/2019,5458.2045
3/21/2019,1877.5155
3/22/2019,3179.148
3/23/2019,4095.042
3/24/2019,3477.4635
3/25/2019,2272.9665
3/26/2019,1962.5130000000001
3/27/2019,2902.8195
3/28/2019,2229.402
3/29/2019,4023.243
3/3/2019,4853.1735
3/30/2019,4487.0595
3/4/2019,3894.4395
3/5/2019,6230.8785
3/6/2019,3092.5965
3/7/2019,1438.2585
3/8/2019,3125.3880000000004
3/9/2019,7474.0470000000005
