Date,Total Sales
2021-01-01,71524.88
2021-01-02,85257.9
2021-01-03,102892.65
2021-01-04,75425.08
2021-01-05,85855.16
2021-01-06,112675.75
2021-01-07,91055.43
2021-01-08,81983.6
2021-01-09,68013.39
2021-01-10,87000.31999999999
2021-01-11,87313.11
2021-01-12,92037.9
2021-01-13,93469.4
2021-01-14,74866.95999999999
2021-01-15,92292.87
2021-01-16,87027.45
2021-01-17,73204.88
2021-01-18,75960.4
2021-01-19,71809.58
2021-01-20,101103.31
2021-01-21,93697.4
2021-01-22,95828.1
2021-01-23,79991.59999999999
2021-01-24,75772.41
2021-01-25,86462.37
2021-01-26,82026.81999999999
2021-01-27,87705.14
2021-01-28,88270.25
2021-01-29,77342.09999999999
2021-01-30,81531.87
2021-01-31,97024.7
2021-02-01,72080.45999999999
2021-02-02,72792.57
2021-02-03,67667.51
2021-02-04,95083.75
2021-02-05,93316.89
2021-02-06,90137.08
2021-02-07,82660.12
2021-02-08,74565.4
2021-02-09,87879.93
2021-02-10,84314.18
2021-02-11,87762.4
2021-02-12,83842.14
2021-02-13,91747.58
2021-02-14,122077.58
2021-02-15,84666.09999999999
2021-02-16,80213.37
2021-02-17,97049.09
2021-02-18,92382.3
2021-02-19,80241.0
2021-02-20,77174.18
2021-02-21,74938.06999999999
2021-02-22,70810.43
2021-02-23,83594.06
2021-02-24,82146.76
2021-02-25,88346.11
2021-02-26,80696.9
2021-02-27,93448.06
2021-02-28,67002.31999999999
2021-03-01,66608.13
2021-03-02,88848.86
2021-03-03,80815.23
2021-03-04,102163.27
2021-03-05,93171.56999999999
2021-03-06,76324.35
2021-03-07,83449.77
2021-03-08,71284.48
2021-03-09,69529.99
2021-03-10,68882.05
2021-03-11,79630.91
2021-03-12,81540.58
2021-03-13,81770.67
2021-03-14,82438.55
2021-03-15,95790.9
2021-03-16,93201.06
2021-03-17,97714.36
2021-03-18,74554.25
2021-03-19,87492.83
2021-03-20,93532.45
2021-03-21,78345.65
2021-03-22,75200.47
2021-03-23,74770.71
2021-03-24,108299.76
2021-03-25,86402.31
